ts,type,price,volume,side,bid,ask
2026-04-10 09:30:00.134,Q,,,,6874.75,6875.0
2026-04-10 09:30:00.135,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,3,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.5,3,,,
2026-04-10 09:30:00.432,T,6874.5,1,,,
2026-04-10 09:30:00.432,T,6874.5,1,,,
2026-04-10 09:30:00.432,T,6874.5,1,,,
2026-04-10 09:30:00.432,T,6874.5,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,3,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,3,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,2,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6874.75,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,3,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,1,,,
2026-04-10 09:30:00.432,T,6875.0,2,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
2026-04-10 09:30:00.432,T,6875.25,1,,,
