z_thresh,contracts,max_trades,stop_ratio,pass_rate,expectancy,risk_reward,win_rate,avg_mc_pnl,total_trades,score
1.0,3,6,0.5,0.398,19.822172949002095,2.18752625731005,0.3348115299334812,397.96579999999005,451,59.6221729490021
2.0,2,8,0.6,0.376,21.930851063829692,2.034522775957523,0.3617021276595745,744.9779999999929,188,59.530851063829694
1.0,1,2,0.5,0.37,21.99919678714859,2.523663466424214,0.3534136546184739,1633.8496000000005,249,58.99919678714859
1.0,2,4,0.5,0.404,18.245901639344282,2.3280850907799433,0.33021077283372363,603.154799999989,427,58.64590163934429
1.25,3,2,0.5,0.348,23.82933333333156,2.2874751685700474,0.3288888888888889,223.5071999999746,225,58.62933333333156
2.0,3,25,0.6,0.402,17.856395348836486,2.017548661480314,0.3488372093023256,472.21719999998476,172,58.05639534883649
0.8,1,10,0.4,0.472,10.29581081081082,2.4679997930673565,0.3202702702702703,1036.254799999998,740,57.495810810810816
2.0,3,15,0.6,0.396,17.856395348836486,2.017548661480314,0.3488372093023256,418.2339999999845,172,57.45639534883649
0.8,3,3,0.5,0.382,19.155397727271776,2.3748315647874834,0.3181818181818182,365.6875999999794,352,57.35539772727178
2.0,3,8,0.6,0.392,17.856395348836486,2.017548661480314,0.3488372093023256,436.7281999999842,172,57.05639534883649
1.0,3,20,0.6,0.402,16.854408602149903,2.0057569559004644,0.35053763440860214,306.8669999999892,465,57.054408602149906
0.8,3,25,0.4,0.41,15.924460431654978,2.446100463690647,0.30755395683453235,460.97399999999897,556,56.92446043165498
2.0,3,10,0.6,0.39,17.856395348836486,2.017548661480314,0.3488372093023256,438.73599999998476,172,56.856395348836486
0.8,2,3,0.4,0.42,14.736956521738676,2.656683597001377,0.29891304347826086,737.6263999999788,368,56.736956521738676
0.8,3,8,0.4,0.392,17.518281535649436,2.4941744665859145,0.3053016453382084,374.881799999997,547,56.71828153564944
2.0,2,2,0.5,0.306,25.99124087591224,2.326170122931724,0.34306569343065696,646.4755999999903,137,56.591240875912234
1.25,2,6,0.6,0.44,12.579439252336243,2.032020529551756,0.34813084112149534,706.7607999999911,428,56.57943925233624
1.0,2,15,0.5,0.402,16.22256410256415,2.136000696074012,0.3435897435897436,449.03319999999667,585,56.42256410256415
0.8,1,8,0.4,0.458,10.13381502890173,2.515987812787922,0.31647398843930635,1107.372999999998,692,55.93381502890173
1.0,3,25,0.6,0.39,16.854408602149903,2.0057569559004644,0.35053763440860214,199.4837999999895,465,55.8544086021499
0.8,1,4,0.5,0.424,13.062606837606857,2.5059519207512784,0.32905982905982906,1333.5789999999997,468,55.462606837606856
1.0,1,10,0.6,0.456,9.745779220779227,2.1219420608699378,0.349025974025974,1041.6483999999984,616,55.34577922077923
0.8,2,8,0.4,0.424,12.9190031152649,2.4414577372128226,0.3115264797507788,552.9431999999955,642,55.3190031152649
2.0,3,20,0.6,0.374,17.856395348836486,2.017548661480314,0.3488372093023256,334.6429999999858,172,55.256395348836485
0.8,3,4,0.4,0.4,15.158620689654128,2.52091787235128,0.30114942528735633,485.0599999999713,435,55.15862068965413
0.8,3,20,0.4,0.392,15.924460431654978,2.446100463690647,0.30755395683453235,295.7537999999982,556,55.12446043165498
2.0,2,6,0.4,0.354,19.462702702702245,2.21384294872644,0.34054054054054056,560.483999999988,185,54.862702702702244
0.8,3,15,0.4,0.386,15.924460431654978,2.446100463690647,0.30755395683453235,266.6281999999912,556,54.52446043165498
1.0,1,15,0.6,0.458,8.670648967551628,2.0821497206186383,0.3495575221238938,987.9827999999989,678,54.47064896755163
1.0,3,15,0.6,0.374,16.854408602149903,2.0057569559004644,0.35053763440860214,176.7661999999907,465,54.2544086021499
0.8,3,6,0.4,0.38,15.379807692307395,2.485494910102809,0.3038461538461538,208.82779999998303,520,53.379807692307395
2.0,3,2,0.6,0.338,19.11127819548676,1.9988783715377865,0.3533834586466165,236.28559999996918,133,52.911278195486766
2.0,2,2,0.4,0.272,25.44379562043777,2.412380818391778,0.3357664233576642,748.2667999999907,137,52.64379562043777
0.8,1,6,0.4,0.44,8.599184339314839,2.561601039732044,0.3083197389885807,1061.4281999999978,613,52.59918433931484
0.8,1,25,0.4,0.444,8.061282932416944,2.4117651801657845,0.3172966781214204,802.4349999999936,873,52.46128293241694
0.8,2,4,0.4,0.384,13.985714285714067,2.6106420184696466,0.3008658008658009,496.84759999998283,462,52.385714285714066
1.0,1,4,0.6,0.402,11.804387990762123,2.227361010519969,0.3464203233256351,1245.9541999999997,433,52.004387990762126
1.0,1,20,0.6,0.446,6.955865921787677,2.1018121019438234,0.34217877094972066,838.9107999999964,716,51.55586592178768
2.0,1,4,0.6,0.224,29.035151515151398,2.363215221136566,0.38181818181818183,1376.9785999999933,165,51.435151515151404
1.25,1,6,0.6,0.402,11.11409395973152,2.1555314155909646,0.348993288590604,910.5123999999973,447,51.31409395973152
1.0,3,8,0.5,0.374,13.912337662337563,2.119168318754211,0.3354978354978355,224.9933999999939,462,51.31233766233756
0.8,2,10,0.4,0.402,10.446015037594137,2.3625277294048024,0.3142857142857143,425.53399999999266,665,50.64601503759414
1.25,2,3,0.5,0.37,13.339102564102035,2.295026383958995,0.32371794871794873,352.37239999998786,312,50.339102564102035
1.0,1,3,0.6,0.346,15.592857142857149,2.39911522111785,0.34285714285714286,1357.726399999999,350,50.19285714285714
1.25,1,8,0.6,0.392,10.700207468879654,2.0876104474194763,0.35477178423236516,824.4243999999976,482,49.90020746887966
1.0,1,15,0.5,0.414,8.251669085631363,2.216090647055408,0.3352685050798258,835.660599999999,689,49.65166908563136
1.0,3,25,0.5,0.392,10.375053763440661,2.1031897623024967,0.3333333333333333,299.412599999993,465,49.575053763440664
1.0,3,15,0.5,0.39,10.375053763440661,2.1031897623024967,0.3333333333333333,246.86199999999081,465,49.37505376344066
0.8,2,15,0.4,0.41,8.352923976608338,2.3234958950439655,0.31432748538011696,519.6467999999928,684,49.35292397660834
1.0,1,10,0.5,0.398,9.246570972886786,2.289149657072763,0.3317384370015949,759.2419999999988,627,49.04657097288679
1.25,2,3,0.6,0.372,11.830322580644719,2.111867797347244,0.3387096774193548,418.8335999999882,310,49.03032258064472
0.8,1,20,0.4,0.416,7.407429245283055,2.3644972530643034,0.31957547169811323,816.7971999999955,848,49.007429245283056
1.0,3,20,0.5,0.384,10.375053763440661,2.1031897623024967,0.3333333333333333,211.90799999999354,465,48.77505376344066
1.0,1,2,0.6,0.296,19.087550200803207,2.3513053048950705,0.357429718875502,1302.4936000000002,249,48.6875502008032
1.25,1,6,0.5,0.382,10.321365638766494,2.3078901009685033,0.33259911894273125,1004.373999999997,454,48.5213656387665
1.0,3,6,0.4,0.39,9.426793248945046,2.263752872908339,0.31645569620253167,256.59759999998505,474,48.426793248945046
1.0,2,6,0.4,0.358,12.62201492537315,2.30093522134845,0.32276119402985076,275.2051999999937,536,48.42201492537315
1.25,1,8,0.5,0.386,9.740081799590982,2.2380495070474,0.3374233128834356,862.0829999999972,489,48.34008179959098
2.0,2,2,0.6,0.322,15.986666666666565,1.954774226141347,0.362962962962963,531.9783999999936,135,48.18666666666657
1.25,2,6,0.5,0.378,9.971100917431073,2.169949571513763,0.3302752293577982,358.78839999999394,436,47.77110091743107
1.0,1,20,0.5,0.41,6.515955983493782,2.226902134190614,0.328748280605227,718.4693999999962,727,47.51595598349378
1.25,1,20,0.6,0.404,6.988494077834147,2.071412218656588,0.34517766497461927,768.9219999999957,591,47.38849407783415
0.8,3,3,0.4,0.35,12.348022598868653,2.506754930849741,0.2994350282485876,227.20859999996927,354,47.34802259886865
1.0,3,3,0.4,0.358,11.519287833826468,2.4840316295732507,0.2997032640949555,265.78799999997284,337,47.319287833826465
1.0,2,3,0.4,0.366,10.693982808022682,2.5686709408953106,0.2979942693409742,431.0563999999889,349,47.29398280802268
1.0,3,10,0.5,0.368,10.375053763440661,2.1031897623024967,0.3333333333333333,208.89579999999094,465,47.17505376344066
2.0,2,8,0.5,0.338,13.247422680412058,2.119621976950793,0.3402061855670103,345.4759999999949,194,47.04742268041206
1.25,2,8,0.6,0.36,10.869603524228864,1.9312821887009695,0.3568281938325991,235.19039999999325,454,46.869603524228864
2.0,1,6,0.6,0.21,25.185082872928056,2.328949938424887,0.3756906077348066,1337.5579999999939,181,46.18508287292806
1.25,1,10,0.6,0.386,7.464901960784331,2.052319043543254,0.34901960784313724,832.3867999999977,510,46.06490196078433
1.0,1,8,0.4,0.392,6.828363047001659,2.3350261626171953,0.3209076175040519,835.4191999999985,617,46.02836304700166
1.25,1,15,0.6,0.38,7.818505338078253,2.0283094370751336,0.35231316725978645,636.4117999999954,562,45.81850533807825
2.0,2,3,0.6,0.324,13.14838709677386,1.8720574629934175,0.36774193548387096,331.15479999998865,155,45.54838709677386
2.0,3,6,0.5,0.352,10.317816091952949,2.0945454545454454,0.3333333333333333,212.09999999997686,174,45.517816091952945
1.0,1,25,0.6,0.396,5.817004048582959,2.105369772609326,0.33873144399460187,582.1431999999965,741,45.41700404858296
0.8,1,15,0.4,0.384,6.832385661310241,2.3980036435070535,0.315203955500618,671.958999999996,809,45.23238566131024
1.25,1,25,0.5,0.39,6.08071895424834,2.166282023498607,0.3333333333333333,530.1157999999959,612,45.08071895424834
2.0,3,6,0.4,0.354,9.566857142855866,2.1639887997002494,0.32571428571428573,242.95319999996903,175,44.966857142855865
1.0,1,4,0.5,0.338,10.898398169336389,2.418118483121424,0.32723112128146453,933.2899999999996,437,44.69839816933639
2.0,2,8,0.4,0.334,11.099487179486829,2.1586140689008215,0.3333333333333333,416.11559999999287,195,44.49948717948683
1.0,1,3,0.5,0.32,12.442165242165231,2.544643486500152,0.32193732193732194,1163.1771999999992,351,44.44216524216523
2.0,2,10,0.6,0.326,11.801030927834944,2.000239178158519,0.35051546391752575,264.32879999999557,194,44.401030927834945
