contracts,z_thresh,atr_stop_ratio,trail_activate,trail_distance,breakeven_ticks,vwap_slope_thresh,pass_rate,blow_rate,avg_days_to_pass,sortino,expectancy,profit_factor,win_rate,avg_win,avg_loss,risk_reward,n_trades,total_pnl,loo_std,score,val_pass_rate,val_blow_rate,val_avg_days,val_n_trades,wf_score
2,1.2,0.8,12,4,6,0.3,0.678,0.322,8.7,0.195,44.59,1.414,0.4133,368.71,183.7,2.007,196,7648.4,0.0632,66.5357,,,,,
1,1.2,0.65,16,4,6,0.3,0.684,0.26,21.0,0.152,16.01,1.292,0.3456,204.83,83.71,2.447,217,2867.4,0.1133,66.3012,,,,,
2,1.2,0.8,12,4,4,0.3,0.668,0.331,10.4,0.169,35.02,1.358,0.3641,365.2,154.01,2.371,206,6067.0,0.0758,65.288,,,,,
1,1.2,0.5,12,4,8,0.3,0.669,0.191,22.7,0.144,14.9,1.266,0.3886,182.69,91.76,1.991,211,2552.5,0.1037,65.2456,,,,,
2,1.5,0.65,20,4,10,0.5,0.668,0.328,14.9,0.193,41.84,1.332,0.287,584.44,176.52,3.311,115,4167.6,0.0853,65.1061,,,,,
1,1.2,0.65,12,4,6,0.3,0.669,0.255,21.1,0.137,15.05,1.273,0.3899,180.07,90.41,1.992,218,2670.4,0.1047,65.033,,,,,
2,1.2,0.8,16,4,10,0.3,0.658,0.342,7.6,0.186,48.05,1.366,0.4202,426.99,226.6,1.884,188,7985.8,0.0519,64.7623,,,,,
1,1.2,0.8,8,6,4,0.3,0.663,0.218,22.6,0.12,13.96,1.295,0.4955,123.64,93.75,1.319,222,2478.4,0.0962,64.7333,,,,,
1,1.2,0.8,20,6,10,0.3,0.661,0.334,14.8,0.192,22.72,1.343,0.322,276.46,97.75,2.828,205,4084.6,0.0706,64.7021,,,,,
1,1.2,0.8,16,6,8,0.3,0.663,0.315,18.0,0.147,17.38,1.29,0.386,200.45,97.73,2.051,215,3135.5,0.0863,64.6401,,,,,
1,1.2,0.8,8,4,6,1.0,0.665,0.291,20.1,0.107,14.43,1.254,0.5309,134.25,121.16,1.108,243,2825.4,0.1022,64.5872,,,,,
1,1.2,0.65,16,4,8,0.3,0.665,0.283,20.0,0.144,16.24,1.27,0.3645,209.62,94.67,2.214,214,2875.8,0.1074,64.5074,,,,,
