z_thresh,contracts,max_trades,stop_ratio,pass_rate,expectancy,risk_reward,win_rate,avg_mc_pnl,total_trades,score
1.5,2,2,0.6,0.866,124.90149253731133,2.6097603536528418,0.417910447761194,2912.040799999954,67,211.50149253731132
1.25,3,2,0.4,0.594,147.99677419353492,2.1263459113395324,0.41935483870967744,1612.038799999898,62,207.39677419353492
1.5,2,2,0.4,0.822,124.90149253731133,2.6097603536528418,0.417910447761194,2687.2623999999532,67,207.10149253731132
1.5,2,2,0.5,0.814,124.90149253731133,2.6097603536528418,0.417910447761194,2640.3247999999526,67,206.30149253731133
1.25,3,2,0.5,0.572,147.99677419353492,2.1263459113395324,0.41935483870967744,1473.7319999998979,62,205.1967741935349
1.25,3,2,0.6,0.572,147.99677419353492,2.1263459113395324,0.41935483870967744,1467.7991999998997,62,205.1967741935349
0.8,2,2,0.6,0.642,122.25454545454048,2.6476169590642815,0.3787878787878788,1730.1479999999458,66,186.4545454545405
0.8,2,2,0.5,0.636,122.25454545454048,2.6476169590642815,0.3787878787878788,1743.3903999999466,66,185.85454545454047
0.8,2,2,0.4,0.63,122.25454545454048,2.6476169590642815,0.3787878787878788,1700.2423999999437,66,185.25454545454048
0.8,3,2,0.4,0.538,130.3129032257919,2.0618174386920285,0.4032258064516129,1118.9263999999132,62,184.1129032257919
0.8,3,2,0.6,0.524,130.3129032257919,2.0618174386920285,0.4032258064516129,1111.8643999999138,62,182.7129032257919
1.5,1,2,0.5,0.958,86.47142857142774,2.8481139014395143,0.44285714285714284,3364.539199999969,70,182.27142857142775
1.5,1,2,0.6,0.954,86.47142857142774,2.8481139014395143,0.44285714285714284,3346.051999999969,70,181.8714285714277
1.25,2,2,0.5,0.74,107.19999999999717,2.9789185326345557,0.36363636363636365,2323.3287999999393,66,181.19999999999717
1.5,1,2,0.4,0.944,86.47142857142774,2.8481139014395143,0.44285714285714284,3297.315199999969,70,180.8714285714277
0.8,3,2,0.5,0.5,130.3129032257919,2.0618174386920285,0.4032258064516129,1052.4995999999167,62,180.3129032257919
1.25,2,2,0.6,0.73,107.19999999999717,2.9789185326345557,0.36363636363636365,2297.0103999999383,66,180.19999999999717
1.5,2,20,0.5,0.878,91.99716312056549,2.2470486141332326,0.41843971631205673,3139.3335999999354,282,179.79716312056547
0.8,1,2,0.4,0.962,83.04999999999936,3.470141150922896,0.375,3328.0967999999743,72,179.24999999999937
0.8,1,2,0.6,0.962,83.04999999999936,3.470141150922896,0.375,3315.732399999975,72,179.24999999999937
1.25,2,2,0.4,0.72,107.19999999999717,2.9789185326345557,0.36363636363636365,2294.387999999939,66,179.19999999999717
0.8,1,2,0.5,0.95,83.04999999999936,3.470141150922896,0.375,3247.7579999999753,72,178.04999999999936
1.5,2,20,0.4,0.846,91.99716312056549,2.2470486141332326,0.41843971631205673,2992.991999999938,282,176.59716312056548
1.5,2,10,0.5,0.832,92.5775784753344,2.327783180811526,0.4080717488789238,2881.8119999999426,223,175.7775784753344
1.5,2,15,0.6,0.824,93.12754716980908,2.3429654123178416,0.4075471698113208,2921.131199999936,265,175.52754716980905
1.5,2,15,0.4,0.82,93.12754716980908,2.3429654123178416,0.4075471698113208,2937.780799999934,265,175.12754716980908
1.5,2,15,0.5,0.818,93.12754716980908,2.3429654123178416,0.4075471698113208,2840.5207999999407,265,174.9275471698091
1.5,2,20,0.6,0.826,91.99716312056549,2.2470486141332326,0.41843971631205673,2914.1511999999343,282,174.59716312056548
1.5,2,10,0.4,0.808,92.5775784753344,2.327783180811526,0.4080717488789238,2705.563199999942,223,173.37757847533442
0.8,1,6,0.6,0.982,74.47299999999997,3.2110778047540474,0.385,3456.0035999999795,200,172.67299999999997
0.8,1,6,0.4,0.98,74.47299999999997,3.2110778047540474,0.385,3414.73599999998,200,172.47299999999996
0.8,1,6,0.5,0.974,74.47299999999997,3.2110778047540474,0.385,3419.7435999999807,200,171.87299999999996
0.8,1,8,0.4,0.992,72.63749999999989,3.1032686414708865,0.390625,3521.8067999999803,256,171.8374999999999
0.8,1,8,0.5,0.986,72.63749999999989,3.1032686414708865,0.390625,3492.85239999998,256,171.2374999999999
1.5,2,3,0.5,0.776,93.61649484535721,2.562003098428929,0.38144329896907214,2445.382399999926,97,171.2164948453572
1.5,2,25,0.4,0.836,87.43754266211405,2.195432693025915,0.4197952218430034,2918.6591999999328,293,171.03754266211405
0.8,1,8,0.6,0.982,72.63749999999989,3.1032686414708865,0.390625,3502.7991999999826,256,170.8374999999999
1.5,2,10,0.6,0.782,92.5775784753344,2.327783180811526,0.4080717488789238,2594.8407999999426,223,170.7775784753344
1.5,2,3,0.4,0.76,93.61649484535721,2.562003098428929,0.38144329896907214,2374.53999999993,97,169.6164948453572
1.5,2,25,0.5,0.82,87.43754266211405,2.195432693025915,0.4197952218430034,2889.3879999999313,293,169.43754266211405
1.5,3,2,0.6,0.566,112.80952380951726,2.0013789044768555,0.4126984126984127,1364.885999999944,63,169.40952380951725
1.5,2,3,0.6,0.754,93.61649484535721,2.562003098428929,0.38144329896907214,2368.0415999999286,97,169.01649484535722
1.5,3,2,0.5,0.55,112.80952380951726,2.0013789044768555,0.4126984126984127,1313.6351999999486,63,167.80952380951726
0.8,2,25,0.6,0.73,92.6927659574452,2.1081369826473453,0.42127659574468085,2395.4223999999385,235,165.6927659574452
1.5,3,2,0.4,0.524,112.80952380951726,2.0013789044768555,0.4126984126984127,1172.1959999999503,63,165.20952380951726
0.8,1,10,0.6,0.988,66.1391585760516,3.073692223643999,0.3818770226537217,3522.905999999977,309,164.9391585760516
1.5,2,8,0.4,0.774,87.36915422885389,2.4043878987540683,0.39303482587064675,2531.7575999999485,201,164.7691542288539
1.5,2,8,0.5,0.772,87.36915422885389,2.4043878987540683,0.39303482587064675,2498.1735999999473,201,164.5691542288539
0.8,1,10,0.4,0.982,66.1391585760516,3.073692223643999,0.3818770226537217,3515.2679999999773,309,164.3391585760516
1.5,2,25,0.6,0.768,87.43754266211405,2.195432693025915,0.4197952218430034,2535.380799999934,293,164.23754266211404
0.8,2,25,0.4,0.714,92.6927659574452,2.1081369826473453,0.42127659574468085,2303.582399999944,235,164.09276595744518
1.5,2,8,0.6,0.766,87.36915422885389,2.4043878987540683,0.39303482587064675,2508.5463999999447,201,163.96915422885388
1.5,2,4,0.4,0.742,89.69354838709441,2.4934586813307704,0.3870967741935484,2294.8655999999423,124,163.89354838709443
0.8,1,10,0.5,0.976,66.1391585760516,3.073692223643999,0.3818770226537217,3471.7179999999757,309,163.73915857605158
